tx_hash,side,mempool_size,mempool_price,filled_size,filled_price,mempool_detected_at,livedata_detected_at,polygon_logs_detected_at,data_api_detected_at,first_detector,is_confirmed,mempool_to_confirm_ms,outcome,timestamp_unix,order_type,notes
0x7ca06426421d18b13af1971c5063e56e73c7f19eac19ee687745dbfcf3e0fe5c,BUY,2.13,0.9400,2.13,0.94,10:39:07.292,---,---,---,MEMPOOL,YES,---,Down,1764668350,TAKER,Confirmed via DATA_API
0x2cd1a488a37654787413115b5845add98953a7cf473b7eaf667e1564c35fd89b,BUY,2.13,0.9400,2.13,0.94,10:39:07.319,---,---,---,MEMPOOL,YES,---,Down,1764668350,TAKER,Confirmed via DATA_API
0xbdbc8c67511bb41db8fa5bdd294ad150e024dc20a0d2cdd14d5eba310f1eb6de,BUY,2.13,0.9400,2.13,0.94,10:39:07.362,---,---,---,MEMPOOL,YES,---,Down,1764668350,TAKER,Confirmed via DATA_API
0xf5571913a57443a18b22b4aab2c6ef8c986e453522b5e18374cde1b643c789ea,BUY,2.13,0.9400,2.13,0.94,10:39:07.793,---,---,---,MEMPOOL,YES,---,Down,1764668350,TAKER,Confirmed via DATA_API
0x79af6f3a0403d7db54682556ec6e33cb5131b188b60d34b364672a4f41a6a351,BUY,2.13,0.9400,2.13,0.94,10:39:07.806,---,---,---,MEMPOOL,YES,---,Down,1764668350,TAKER,Confirmed via DATA_API
0x5e1d0dea3f84fbf64fd6d5f2dec2a4b034cf5c05da3450d0612da1215f3a483b,BUY,12.31,0.9500,12.31,0.06,10:39:08.106,---,---,---,MEMPOOL,YES,---,Up,1764668350,TAKER,Confirmed via DATA_API
0x030cdddbb4884964675d7f89607b7a1dd95b67d57a9f62210ec1eb0dbe464389,BUY,6.00,0.9500,6,0.06,10:39:08.414,---,---,---,MEMPOOL,YES,---,Up,1764668350,TAKER,Confirmed via DATA_API
0x2c0ae5fd64919cb81f3f983fe387a9e360dbda7fb824df8072f683d8be43f281,SELL,145.00,0.9400,145,0.94,10:39:09.215,10:39:13.403,10:39:12.757,---,MEMPOOL,YES,3542,Down,1764668352,TAKER,Confirmed via LIVEDATA
0xfd1ae229a6e13657c7e3d0ce09aef3eaf5e347859c0343fbcb620a9850e9e069,BUY,5.00,0.9400,5,0.06,10:39:10.541,---,---,10:39:30.987,MEMPOOL,YES,20446,Up,1764668354,TAKER,Confirmed via DATA_API
0xdd69eb76bda593484da211f3b5f2a38043df81a66ee178b8c8e9c1b4f23a6c6a,BUY,100.00,0.0600,100,0.06,10:39:11.068,10:39:15.387,10:39:14.142,10:39:30.987,MEMPOOL,YES,3074,Up,1764668354,TAKER,Confirmed via LIVEDATA
