mempool_tx_hash,mempool_from,mempool_to,mempool_contract_name,livedata_detected_at,mempool_detected_at,mempool_gas_price,mempool_gas,mempool_nonce,mempool_max_fee_per_gas,mempool_max_priority_fee,mempool_value,mempool_input_len,mempool_decoded,mempool_side,mempool_token_id,,,,mempool_price,mempool_role,mempool_maker_address,mempool_taker_address,mempool_signer_address,mempool_expiration,mempool_order_nonce,mempool_fee_rate_bps,mempool_fill_amount,mempool_maker_amount,mempool_taker_amount,mempool_size,livedata_size,mempool_order_count,mempool_function_sig,mempool_signature_type,mempool_salt_hex,livedata_side,,livedata_price,polygon_logs_detected_at,data_api_detected_at,data_api_side,data_api_size,data_api_price,first_detector,is_confirmed,mempool_to_confirm_ms,outcome
0x59954aa3c0438ac2f8bb4c3b82b695dbb514672d9b3f5327c9e5f9c9e436d086,0x921df990acadf9a89d283b7e761ceac3311ea9ea,0xe3f18acc55091e2c48d883fc8c8413319d4ab7b0,NegRiskAdapter,,12:30:19,0xba43b74000,0xdbba0,6487168,0xba43b74000,0x826299e00,0x0,1508,TRUE,BUY,5.00172E+76,,,,0.64,MAKER,0x05c1882212a41aa8d7df5b70eebe03d9319345b7,0x0000000000000000000000000000000000000000,0xa801c456d654454b285b3a7d413e12b74838d045,1764675078,0,0,138240000,138240000,216000000,216,0,1,fillOrders,0,0x000000000000000000000000000000000000000000000000000000002c0fc494,,,0,,12:30:35,BUY,52.777776,0.64,MEMPOOL,TRUE,15718,Down
0xb946dd1412e7cb3bd3503c21405fb418d46e5475182271fb50ba075b6e082663,0x6648e365a1b072797ee871d45691aead31b9d016,0xe3f18acc55091e2c48d883fc8c8413319d4ab7b0,NegRiskAdapter,12:30:23,12:30:20,0xba43b74000,0xdbba0,6471206,0xba43b74000,0x826299e00,0x0,1508,TRUE,BUY,5.00172E+76,,,,0.64,MAKER,0x05c1882212a41aa8d7df5b70eebe03d9319345b7,0x0000000000000000000000000000000000000000,0xa801c456d654454b285b3a7d413e12b74838d045,1764675078,0,0,138240000,138240000,216000000,216,114,1,fillOrders,0,0x000000000000000000000000000000000000000000000000000000002c0fc494,BUY,,0.64,12:30:23,12:30:35,BUY,114,0.64,MEMPOOL,TRUE,3000,Down
0xf10de15adb4816e9c1714f151c383314861f435b626c093277bbf19b147d3add,0x4595a3ad508adf916ab082d0438515b190f41c84,0xe3f18acc55091e2c48d883fc8c8413319d4ab7b0,NegRiskAdapter,12:30:25,12:30:20,0xba43b74000,0x1b7740,6488291,0xba43b74000,0x826299e00,0x0,3428,TRUE,BUY,5.00172E+76,,,,0.65,MAKER,0x05c1882212a41aa8d7df5b70eebe03d9319345b7,0x0000000000000000000000000000000000000000,0xa801c456d654454b285b3a7d413e12b74838d045,1764675079,0,0,140400000,140400000,216000000,216,216,1,fillOrders,0,0x0000000000000000000000000000000000000000000000000000000019f21bd6,BUY,,0.649074,12:30:25,12:30:35,BUY,216,0.649074,MEMPOOL,TRUE,4892,Down
0xafc2f816aeabb6c24f633487a9753cd5af9bdcc8ce751542fae31ed36a9ca486,0x429b8474bd7308b7787d364985bb4b8ea7de1d47,0xe3f18acc55091e2c48d883fc8c8413319d4ab7b0,NegRiskAdapter,12:30:25,12:30:21,0xba43b74000,0x124f80,6487784,0xba43b74000,0x826299e00,0x0,2148,TRUE,BUY,5.00172E+76,,,,0.65,MAKER,0x05c1882212a41aa8d7df5b70eebe03d9319345b7,0x0000000000000000000000000000000000000000,0xa801c456d654454b285b3a7d413e12b74838d045,1764675079,0,0,140400000,140400000,216000000,216,216,1,fillOrders,0,0x0000000000000000000000000000000000000000000000000000000024acc1b3,BUY,,0.65,12:30:25,12:30:35,BUY,216,0.65,MEMPOOL,TRUE,4185,Down
0xd3c77cadb948221d3b87625251d1374c92fc2b433df424d7e211a599a315193f,0xd2add5493c7987995a472dbf90513d6d8f0d2367,0xe3f18acc55091e2c48d883fc8c8413319d4ab7b0,NegRiskAdapter,12:30:27,12:30:24,0xba43b74000,0x124f80,5805483,0xba43b74000,0x826299e00,0x0,2148,TRUE,SELL,3.67317E+76,,,,0.38,MAKER,0x05c1882212a41aa8d7df5b70eebe03d9319345b7,0x0000000000000000000000000000000000000000,0xa801c456d654454b285b3a7d413e12b74838d045,1764675083,0,0,162000000,162000000,61560000,162,21.12,1,fillOrders,0,0x00000000000000000000000000000000000000000000000000000000103c85b2,SELL,,0.38,12:30:26,12:30:35,SELL,21.12,0.38,MEMPOOL,TRUE,2850,Up
0xf2e839b7ae2ce9a753f8427bd9213c6e3b0014a4bd32abad2d73a8358b6e3d63,0x125914b1d921d83367a0478f4ea6447aff2ee9da,0xe3f18acc55091e2c48d883fc8c8413319d4ab7b0,NegRiskAdapter,,12:30:25,0xba43b74000,0xdbba0,6487927,0xba43b74000,0x826299e00,0x0,1508,TRUE,SELL,3.67317E+76,,,,0.38,MAKER,0x05c1882212a41aa8d7df5b70eebe03d9319345b7,0x0000000000000000000000000000000000000000,0xa801c456d654454b285b3a7d413e12b74838d045,1764675084,0,0,155000000,155000000,58900000,155,0,1,fillOrders,0,0x000000000000000000000000000000000000000000000000000000002796b281,,,0,,12:30:35,SELL,5,0.38,MEMPOOL,TRUE,10184,Up
0xfc58cd5ac09ac08a43871f291347edbc27091c3b52c406a9edd664f56821140e,0x429b8474bd7308b7787d364985bb4b8ea7de1d47,0xe3f18acc55091e2c48d883fc8c8413319d4ab7b0,NegRiskAdapter,12:30:29,12:30:26,0xba43b74000,0x1b7740,6487787,0xba43b74000,0x826299e00,0x0,3428,TRUE,BUY,5.00172E+76,,,,0.62,MAKER,0x05c1882212a41aa8d7df5b70eebe03d9319345b7,0x0000000000000000000000000000000000000000,0xa801c456d654454b285b3a7d413e12b74838d045,1764675084,0,0,95480000,95480000,154000000,154,154,1,fillOrders,0,0x00000000000000000000000000000000000000000000000000000000085e3fd5,BUY,,0.611604,12:30:28,12:30:35,BUY,154,0.611604,MEMPOOL,TRUE,2570,Down
0x591df04a015923546a0dfd4aa5974bbb8566364742a4e2473ad96f7d6887be0f,0xae5d7147ed7c1c312cd2762613442ee0f2c3124d,0xe3f18acc55091e2c48d883fc8c8413319d4ab7b0,NegRiskAdapter,12:30:59,12:30:54,0xba43b74000,0x16e360,5802675,0xba43b74000,0x826299e00,0x0,2788,TRUE,SELL,3.67317E+76,,,,0.39,MAKER,0x05c1882212a41aa8d7df5b70eebe03d9319345b7,0x0000000000000000000000000000000000000000,0xa801c456d654454b285b3a7d413e12b74838d045,1764675113,0,0,108000000,108000000,42120000,108,35,1,fillOrders,0,0x00000000000000000000000000000000000000000000000000000000362ff29b,SELL,,0.39,12:30:58,12:31:05,SELL,35,0.39,MEMPOOL,TRUE,5097,Up
0x0d934928aa2b883274cc5fb984bfa4e7cd19e6aabd9775afe40323df768c7a85,0x0c802c7429d3e2c5994db49bf6a7a6af2deaa998,0xe3f18acc55091e2c48d883fc8c8413319d4ab7b0,NegRiskAdapter,12:30:57,12:30:54,0xba43b74000,0x124f80,6476564,0xba43b74000,0x826299e00,0x0,2148,TRUE,SELL,3.67317E+76,,,,0.4,MAKER,0x05c1882212a41aa8d7df5b70eebe03d9319345b7,0x0000000000000000000000000000000000000000,0xa801c456d654454b285b3a7d413e12b74838d045,1764675113,0,0,108000000,108000000,43200000,108,76.26,1,fillOrders,0,0x00000000000000000000000000000000000000000000000000000000277aacc3,SELL,,0.4,12:30:56,12:31:05,SELL,76.26,0.4,MEMPOOL,TRUE,2572,Up
0x146b95b3312fe4439806e44c2720fa55a9af8a5990b0edb3a48028799de53cdc,0x19a130e5ec3167d53a5a36f59f48a46d48457425,0xe3f18acc55091e2c48d883fc8c8413319d4ab7b0,NegRiskAdapter,,12:30:54,0xba43b74000,0xdbba0,5805995,0xba43b74000,0x826299e00,0x0,1508,TRUE,SELL,3.67317E+76,,,,0.4,MAKER,0x05c1882212a41aa8d7df5b70eebe03d9319345b7,0x0000000000000000000000000000000000000000,0xa801c456d654454b285b3a7d413e12b74838d045,1764675113,0,0,108000000,108000000,43200000,108,0,1,fillOrders,0,0x00000000000000000000000000000000000000000000000000000000277aacc3,,,0,,12:31:05,SELL,5,0.4,MEMPOOL,TRUE,10770,Up
