mempool_tx_hash,mempool_from,mempool_to,mempool_contract_name,mempool_detected_at,mempool_gas_price,mempool_gas,mempool_nonce,mempool_max_fee_per_gas,mempool_max_priority_fee,mempool_value,mempool_input_len,mempool_decoded,mempool_side,mempool_token_id,mempool_maker_amount,mempool_taker_amount,mempool_size,mempool_price,mempool_role,mempool_maker_address,mempool_taker_address,mempool_signer_address,mempool_expiration,mempool_order_nonce,mempool_fee_rate_bps,mempool_fill_amount,mempool_order_count,mempool_function_sig,mempool_signature_type,mempool_salt_hex,livedata_detected_at,livedata_side,livedata_size,livedata_price,polygon_logs_detected_at,data_api_detected_at,data_api_side,data_api_size,data_api_price,first_detector,is_confirmed,mempool_to_confirm_ms,outcome
0x727a469cb2a53db40b1d37a0144b800d33ef648e7bf4bc49a4173dc6c0ee00b2,0x125914b1d921d83367a0478f4ea6447aff2ee9da,0xe3f18acc55091e2c48d883fc8c8413319d4ab7b0,NegRiskAdapter,12:36:35.845,0xba43b74000,0xdbba0,6543770,0xba43b74000,0x826299e00,0x0,1508,true,BUY,43311399423030938941361994753330996082669412410851389019234759838801837717743,17400000,60000000,4.084507,0.290000,MAKER,0x818f214c7f3e479cce1d964d53fe3db7297558cb,0x0000000000000000000000000000000000000000,0xe02d7c8a9f60dd5e69def646685776ab3751aca1,0,,0,4084507,2,fillOrders,0,,,,0.000000,0.000000,,12:37:07.921,BUY,14.084506,0.290000,MEMPOOL,true,32075,Up
0x27db759bd9ed17fd7a5fa79f417cce4b39c97bfda4f280cf10f8f04664dacaa0,0x4bdb16a35fc5fdc4a8701bc5b688d254e99027c0,0xe3f18acc55091e2c48d883fc8c8413319d4ab7b0,NegRiskAdapter,12:36:38.805,0xba43b74000,0xdbba0,5861243,0xba43b74000,0x826299e00,0x0,1508,true,BUY,43311399423030938941361994753330996082669412410851389019234759838801837717743,17400000,60000000,1.740000,0.290000,MAKER,0x818f214c7f3e479cce1d964d53fe3db7297558cb,0x0000000000000000000000000000000000000000,0xe02d7c8a9f60dd5e69def646685776ab3751aca1,0,,0,1740000,2,fillOrders,0,,,,0.000000,0.000000,,12:37:07.921,BUY,6.000000,0.290000,MEMPOOL,true,29115,Up
0xa993a41928a772a3cd5062e8f2b5d30fd2351a34a188cd0be342d4bf4d9d68c9,0x7210dd22a1461e6f44701d3d97f4a9f452b144e1,0xe3f18acc55091e2c48d883fc8c8413319d4ab7b0,NegRiskAdapter,12:36:47.578,0xba43b74000,0x36ee80,5860037,0xba43b74000,0x826299e00,0x0,7268,true,BUY,43311399423030938941361994753330996082669412410851389019234759838801837717743,17400000,60000000,17.400000,0.290000,MAKER,0x818f214c7f3e479cce1d964d53fe3db7297558cb,0x0000000000000000000000000000000000000000,0xe02d7c8a9f60dd5e69def646685776ab3751aca1,0,,0,17400000,11,fillOrders,0,,,,0.000000,0.000000,,12:37:07.921,BUY,60.000000,0.290000,MEMPOOL,true,20343,Up
0x28cb9edb61b05850c1f946b807a4b8990e0eacf3c2b9df06299fb96022c266e9,0x429b8474bd7308b7787d364985bb4b8ea7de1d47,0xe3f18acc55091e2c48d883fc8c8413319d4ab7b0,NegRiskAdapter,12:36:48.081,0xba43b74000,0x16e360,6543629,0xba43b74000,0x826299e00,0x0,2788,true,SELL,39827967199179895877400302621802460831382584522492973166441682070382969530387,42600000,60000000,43.000000,1.408451,TAKER,0x818f214c7f3e479cce1d964d53fe3db7297558cb,0x0000000000000000000000000000000000000000,0xe02d7c8a9f60dd5e69def646685776ab3751aca1,0,,0,43000000,4,fillOrders,0,,12:36:52.603,BUY,43.000000,0.710000,12:36:52.674,12:37:07.921,BUY,43.000000,0.710000,MEMPOOL,true,4521,Down
0xfc0df34c2b13008262b3336dcfc0e067a6616fd0df2ee0a13d4db62036d66350,0x6648e365a1b072797ee871d45691aead31b9d016,0xe3f18acc55091e2c48d883fc8c8413319d4ab7b0,NegRiskAdapter,12:36:50.515,0xba43b74000,0xdbba0,6527055,0xba43b74000,0x826299e00,0x0,1508,true,BUY,39827967199179895877400302621802460831382584522492973166441682070382969530387,40200000,60000000,8.040000,0.670000,MAKER,0x818f214c7f3e479cce1d964d53fe3db7297558cb,0x0000000000000000000000000000000000000000,0xe02d7c8a9f60dd5e69def646685776ab3751aca1,0,,0,8040000,2,fillOrders,0,,,,0.000000,0.000000,,12:37:07.921,BUY,12.000000,0.670000,MEMPOOL,true,17406,Down
0x4014ebc97940d89ce7c1a17f7224e073e7e1d1c992a44da3a2539be0507d03bf,0x6648e365a1b072797ee871d45691aead31b9d016,0xe3f18acc55091e2c48d883fc8c8413319d4ab7b0,NegRiskAdapter,12:37:13.207,0xba43b74000,0x16e360,6527066,0xba43b74000,0x826299e00,0x0,2788,true,BUY,43311399423030938941361994753330996082669412410851389019234759838801837717743,24000000,60000000,16.000000,0.400000,MAKER,0x818f214c7f3e479cce1d964d53fe3db7297558cb,0x0000000000000000000000000000000000000000,0xe02d7c8a9f60dd5e69def646685776ab3751aca1,0,,0,16000000,4,fillOrders,0,,,,0.000000,0.000000,,12:37:39.922,BUY,40.000000,0.400000,MEMPOOL,true,26714,Up
0x5b768bcc07dd281d93b492e8e41befa9b0ac005e46e5ab6b9c459c949ab9f433,0x0c802c7429d3e2c5994db49bf6a7a6af2deaa998,0xe3f18acc55091e2c48d883fc8c8413319d4ab7b0,NegRiskAdapter,12:37:24.038,0xba43b74000,0xdbba0,6532390,0xba43b74000,0x826299e00,0x0,1508,true,BUY,39827967199179895877400302621802460831382584522492973166441682070382969530387,34800000,60000000,4.640000,0.580000,MAKER,0x818f214c7f3e479cce1d964d53fe3db7297558cb,0x0000000000000000000000000000000000000000,0xe02d7c8a9f60dd5e69def646685776ab3751aca1,0,,0,4640000,2,fillOrders,0,,,,0.000000,0.000000,,12:37:39.922,BUY,8.000000,0.580000,MEMPOOL,true,15884,Down
0x7fe1010aafb5b281013f6ba01de87eac9918c103e30859b7668e0b83e268fb30,0x125914b1d921d83367a0478f4ea6447aff2ee9da,0xe3f18acc55091e2c48d883fc8c8413319d4ab7b0,NegRiskAdapter,12:37:24.040,0xba43b74000,0xdbba0,6543792,0xba43b74000,0x826299e00,0x0,1508,true,BUY,39827967199179895877400302621802460831382584522492973166441682070382969530387,34800000,60000000,3.480000,0.580000,MAKER,0x818f214c7f3e479cce1d964d53fe3db7297558cb,0x0000000000000000000000000000000000000000,0xe02d7c8a9f60dd5e69def646685776ab3751aca1,0,,0,3480000,2,fillOrders,0,,,,0.000000,0.000000,,12:37:39.922,BUY,6.000000,0.580000,MEMPOOL,true,15882,Down
0x09f85b5c60604ab9e65e76cb6a90a5034be4e5289b1578ffebd908e6fdd7852b,0x5b6e4ef2952398983ccee7e1efa0ff0d3cf7b12a,0xe3f18acc55091e2c48d883fc8c8413319d4ab7b0,NegRiskAdapter,12:37:24.054,0xba43b74000,0xdbba0,6544246,0xba43b74000,0x826299e00,0x0,1508,true,BUY,39827967199179895877400302621802460831382584522492973166441682070382969530387,34800000,60000000,6.960000,0.580000,MAKER,0x818f214c7f3e479cce1d964d53fe3db7297558cb,0x0000000000000000000000000000000000000000,0xe02d7c8a9f60dd5e69def646685776ab3751aca1,0,,0,6960000,2,fillOrders,0,,,,0.000000,0.000000,,12:37:39.922,BUY,12.000000,0.580000,MEMPOOL,true,15867,Down
0xc87153b797369c2740c687430d7c9d8f889e12151ab32ff9a2c0c7029155b889,,,,,,,0,,,,0,false,,,,,0.000000,0.000000,,,,,0,,0,,0,,0,,,,0.000000,0.000000,,12:37:39.922,BUY,20.000000,0.400000,DATA_API,true,0,
