tx_hash,timestamp_detected,method,shares,outcome,side,token_id,price,actual_shares,actual_outcome,actual_side,actual_price,actual_title,match
0xf1813828147acd1bd6e93f47493b4cfe80b06ec6810eeda4c001a6fb35421c53,2025-12-03T07:05:48.386,MEMPOOL,0.000000,,,,0.000000,,,,,,NOT_FOUND
0xf00c10304de0410c94e53ce8d2488720df035475b81395e76130917314193c32,2025-12-03T07:05:49.387,POLYGON_LOGS,60.000000,,BUY,58045344516393208509202672910339586145070133845028939547731368400727524303906,0.170000,,,,,,NOT_FOUND
0x42c1b59241cbe51c19d01dc72fb57c1f5570b98439bc30acc5fab13e53ab8191,2025-12-03T07:05:49.933,MEMPOOL,0.000000,,,,0.000000,,,,,,NOT_FOUND
0xf1813828147acd1bd6e93f47493b4cfe80b06ec6810eeda4c001a6fb35421c53,2025-12-03T07:05:51.404,POLYGON_LOGS,60.000000,,BUY,58045344516393208509202672910339586145070133845028939547731368400727524303906,0.150000,,,,,,NOT_FOUND
0xde6472358dfa7ef96aba89c348b879ba94b893a9f0b3143b4df28a8084a48d08,2025-12-03T07:05:51.406,POLYGON_LOGS,60.000000,,BUY,58045344516393208509202672910339586145070133845028939547731368400727524303906,0.160000,,,,,,NOT_FOUND
0x42c1b59241cbe51c19d01dc72fb57c1f5570b98439bc30acc5fab13e53ab8191,2025-12-03T07:05:53.268,POLYGON_LOGS,4.000000,,BUY,58045344516393208509202672910339586145070133845028939547731368400727524303906,0.150000,,,,,,NOT_FOUND
0x6c80fc50a384e774238cc5c18506ecc37e9d2813f3cf130748f10ea7ffe77817,2025-12-03T07:05:53.806,MEMPOOL,0.000000,,,,0.000000,,,,,,NOT_FOUND
0x6c80fc50a384e774238cc5c18506ecc37e9d2813f3cf130748f10ea7ffe77817,2025-12-03T07:05:57.283,POLYGON_LOGS,5.000000,,SELL,90935325704423944256344617482152419949039175107879950718034769254187947434591,0.790000,,,,,,NOT_FOUND
0x496189330bed5f5d65de60980f3ba912ea6104acc95faaeecb544f5f6b7443a5,2025-12-03T07:05:57.307,POLYGON_LOGS,8.544300,,BUY,58045344516393208509202672910339586145070133845028939547731368400727524303906,0.210000,,,,,,NOT_FOUND
0x6c80fc50a384e774238cc5c18506ecc37e9d2813f3cf130748f10ea7ffe77817,2025-12-03T07:05:57.615,LIVEDATA,5.000000,Down,BUY,,0.210000,,,,,,NOT_FOUND
0xef9a4e0a51682f7b49f13604dec161937131bccf47cb3ef7c5ede94f6092a4b4,2025-12-03T07:05:59.546,POLYGON_LOGS,1.265819,,BUY,58045344516393208509202672910339586145070133845028939547731368400727524303906,0.210000,,,,,,NOT_FOUND
0x5f10638a9db45c7f26c7c1305d27d7bf67209ad087189dd6fa28e92ccad82e92,2025-12-03T07:05:59.880,MEMPOOL,0.000000,,,,0.000000,,,,,,NOT_FOUND
0x5414a2c3ae23ad2d50db13b7512ac9df2e1aa8a86f38834943fdf6ff24f4019e,2025-12-03T07:05:59.988,MEMPOOL,0.000000,,,,0.000000,,,,,,NOT_FOUND
0x3df38efe06be0fb8f61fb461a189707a1e0236f28cb384ec42a6a92fb94989e3,2025-12-03T07:06:00.095,MEMPOOL,0.000000,,,,0.000000,,,,,,NOT_FOUND
0x70b6d391ae6c970f8c2db402b4ff98e2e2bf2795bc76f47f9801a888c0d4e54d,2025-12-03T07:06:00.215,MEMPOOL,0.000000,,,,0.000000,,,,,,NOT_FOUND
0x8905e705b0ab3b33aab5e02905aa3864e981e06f642f5c50ac17e1fae11b820f,2025-12-03T07:06:00.316,MEMPOOL,0.000000,,,,0.000000,,,,,,NOT_FOUND
0xb088800f8c80aed0648a3e903814db8b6d355fc58045e61f646bcccb52839349,2025-12-03T07:06:01.541,MEMPOOL,0.000000,,,,0.000000,,,,,,NOT_FOUND
0xadb76ce6d91058f32e40508870c021c562b47a98a3c97c91c7286a5fbd55a10c,2025-12-03T07:06:01.757,MEMPOOL,0.000000,,,,0.000000,,,,,,NOT_FOUND
0x33f7d49208327a1c1b44eab00bc76d51c5b2518af183122de902e5d83b17b82c,2025-12-03T07:06:03.264,POLYGON_LOGS,60.000000,,SELL,90935325704423944256344617482152419949039175107879950718034769254187947434591,0.810000,,,,,,NOT_FOUND
0x33f7d49208327a1c1b44eab00bc76d51c5b2518af183122de902e5d83b17b82c,2025-12-03T07:06:03.643,LIVEDATA,60.000000,Down,BUY,,0.190000,,,,,,NOT_FOUND
