tx_hash,timestamp_detected,timestamp_tx,method,shares,outcome,side,token_id,price,mempool_detected_at,mempool_shares,mempool_side,mempool_price,mempool_outcome,mempool_role,mempool_maker_amount,mempool_taker_amount,mempool_fill_amount,livedata_detected_at,livedata_shares,livedata_side,livedata_price,livedata_outcome,polygon_detected_at,polygon_shares,polygon_side,polygon_price,polygon_token_id,data_api_detected_at,data_api_shares,data_api_side,data_api_price,data_api_outcome,data_api_token_id,clob_detected_at,clob_shares,clob_side,clob_price,clob_outcome,clob_token_id,first_method
0x065d33f242a6d8f105f26ede6d19feaa1b78287a755ded1f4820157b3c756a67,2025-12-02T19:42:24.299+01:00,2025-12-02T19:42:28Z,MEMPOOL,13.000000,Up,BUY,25196530153819175930803470474486553877881838501291458149850000064556168756046,0.580000,2025-12-02T19:42:24.299+01:00,13.000000,BUY,0.580000,Up,MAKER,7540000,13000000,13000000,2025-12-02T19:42:28.613+01:00,13.000000,BUY,0.580000,Up,2025-12-02T19:42:28.280+01:00,13.000000,SELL,0.420000,72418901714707682788665789696289422965317649937589827253265381901398990720379,2025-12-02T19:42:35.569+01:00,13.000000,BUY,0.580000,Up,25196530153819175930803470474486553877881838501291458149850000064556168756046,,0.000000,,0.000000,,,MEMPOOL
0x5e4546e0cf103fd83f71b5d0f3cd475268a19f721b865d347692a1034da48c36,2025-12-02T19:42:24.431+01:00,2025-12-02T19:42:26Z,MEMPOOL,16.000000,Up,BUY,25196530153819175930803470474486553877881838501291458149850000064556168756046,0.580000,2025-12-02T19:42:24.431+01:00,16.000000,BUY,0.590000,Up,MAKER,9440000,16000000,16000000,2025-12-02T19:42:26.402+01:00,16.000000,BUY,0.580000,Up,2025-12-02T19:42:26.328+01:00,16.000000,SELL,0.420000,72418901714707682788665789696289422965317649937589827253265381901398990720379,2025-12-02T19:42:35.569+01:00,16.000000,BUY,0.580000,Up,25196530153819175930803470474486553877881838501291458149850000064556168756046,,0.000000,,0.000000,,,MEMPOOL
0x7f774c0679382652477eae212ce817de384faac894f8f472e00beb12ed08a1eb,2025-12-02T19:42:26.294+01:00,2025-12-02T19:42:26Z,POLYGON_LOGS,70.000000,Down,SELL,72418901714707682788665789696289422965317649937589827253265381901398990720379,0.420000,,0.000000,,0.000000,,,,,,2025-12-02T19:42:26.566+01:00,70.000000,SELL,0.420000,Down,2025-12-02T19:42:26.294+01:00,70.000000,SELL,0.420000,72418901714707682788665789696289422965317649937589827253265381901398990720379,2025-12-02T19:42:35.569+01:00,70.000000,SELL,0.420000,Down,72418901714707682788665789696289422965317649937589827253265381901398990720379,,0.000000,,0.000000,,,POLYGON_LOGS
0x3292f30114b76a2e2ad48ea1e4ba7fd7a64ceaf7dc6790443c4b6c46dad575c6,2025-12-02T19:42:26.322+01:00,2025-12-02T19:42:26Z,POLYGON_LOGS,28.000000,Up,BUY,25196530153819175930803470474486553877881838501291458149850000064556168756046,0.580000,,0.000000,,0.000000,,,,,,2025-12-02T19:42:26.639+01:00,28.000000,BUY,0.580000,Up,2025-12-02T19:42:26.322+01:00,28.000000,SELL,0.420000,72418901714707682788665789696289422965317649937589827253265381901398990720379,2025-12-02T19:42:35.569+01:00,28.000000,BUY,0.580000,Up,25196530153819175930803470474486553877881838501291458149850000064556168756046,,0.000000,,0.000000,,,POLYGON_LOGS
0x2fa3766f35df58d9f8081fd01f527daef32925d2f5ea384344077f751add81db,2025-12-02T19:44:12.171+01:00,2025-12-02T19:44:16Z,MEMPOOL,2.105262,Up,SELL,25196530153819175930803470474486553877881838501291458149850000064556168756046,0.950000,2025-12-02T19:44:12.171+01:00,2.105262,SELL,0.950000,Up,MAKER,216000000,205200000,2105262,,0.000000,,0.000000,,2025-12-02T19:44:16.148+01:00,2.105262,SELL,0.950000,25196530153819175930803470474486553877881838501291458149850000064556168756046,2025-12-02T19:44:41.574+01:00,2.105262,SELL,0.950000,Up,25196530153819175930803470474486553877881838501291458149850000064556168756046,,0.000000,,0.000000,,,MEMPOOL
0x4de87af53e788e74b31ce5a6f5f3fd612edef0940965709feddafb1b59173108,2025-12-02T19:44:12.196+01:00,2025-12-02T19:44:16Z,MEMPOOL,2.105262,Up,SELL,25196530153819175930803470474486553877881838501291458149850000064556168756046,0.950000,2025-12-02T19:44:12.196+01:00,2.105262,SELL,0.950000,Up,MAKER,216000000,205200000,2105262,,0.000000,,0.000000,,2025-12-02T19:44:16.168+01:00,2.105262,SELL,0.950000,25196530153819175930803470474486553877881838501291458149850000064556168756046,2025-12-02T19:44:41.574+01:00,2.105262,SELL,0.950000,Up,25196530153819175930803470474486553877881838501291458149850000064556168756046,,0.000000,,0.000000,,,MEMPOOL
0xddef50bf755dbb546a477a6ec716e30e855a0802258de0304529c4078f72ba7a,2025-12-02T19:44:12.211+01:00,2025-12-02T19:44:16Z,MEMPOOL,2.105262,Up,SELL,25196530153819175930803470474486553877881838501291458149850000064556168756046,0.950000,2025-12-02T19:44:12.211+01:00,2.105262,SELL,0.950000,Up,MAKER,216000000,205200000,2105262,,0.000000,,0.000000,,2025-12-02T19:44:16.153+01:00,2.105262,SELL,0.950000,25196530153819175930803470474486553877881838501291458149850000064556168756046,2025-12-02T19:44:41.574+01:00,2.105262,SELL,0.950000,Up,25196530153819175930803470474486553877881838501291458149850000064556168756046,,0.000000,,0.000000,,,MEMPOOL
0x3ec4392db099e82f8fbfdeb6b6154ee1ca37026cf99e39a62bf0a66c19365aad,2025-12-02T19:44:12.512+01:00,2025-12-02T19:44:16Z,MEMPOOL,4.354735,Up,SELL,25196530153819175930803470474486553877881838501291458149850000064556168756046,0.950000,2025-12-02T19:44:12.512+01:00,55.294735,SELL,0.950000,Up,MAKER,216000000,205200000,55294735,,0.000000,,0.000000,,2025-12-02T19:44:16.187+01:00,4.354735,SELL,0.950000,25196530153819175930803470474486553877881838501291458149850000064556168756046,2025-12-02T19:44:41.574+01:00,4.354735,SELL,0.950000,Up,25196530153819175930803470474486553877881838501291458149850000064556168756046,,0.000000,,0.000000,,,MEMPOOL
0xee115e6b2e5525cc10aa677c1b9e2d72101eed787fd99638632827601d3839fb,2025-12-02T19:44:12.696+01:00,2025-12-02T19:44:16Z,MEMPOOL,2.105262,Up,SELL,25196530153819175930803470474486553877881838501291458149850000064556168756046,0.950000,2025-12-02T19:44:12.696+01:00,2.105262,SELL,0.950000,Up,MAKER,216000000,205200000,2105262,,0.000000,,0.000000,,2025-12-02T19:44:16.192+01:00,2.105262,SELL,0.950000,25196530153819175930803470474486553877881838501291458149850000064556168756046,2025-12-02T19:44:41.574+01:00,2.105262,SELL,0.950000,Up,25196530153819175930803470474486553877881838501291458149850000064556168756046,,0.000000,,0.000000,,,MEMPOOL
0x5d4e6f3d2bd7f4a19b8a823db31ae22220f28aa4640a75a6c2077664ce5f1dd5,2025-12-02T19:44:13.563+01:00,2025-12-02T19:44:16Z,MEMPOOL,29.010633,Down,BUY,72418901714707682788665789696289422965317649937589827253265381901398990720379,0.060000,2025-12-02T19:44:13.563+01:00,29.010633,BUY,0.060000,Down,MAKER,12960000,216000000,29010633,,0.000000,,0.000000,,2025-12-02T19:44:16.217+01:00,29.010633,BUY,0.060000,72418901714707682788665789696289422965317649937589827253265381901398990720379,2025-12-02T19:44:41.574+01:00,29.010633,BUY,0.060000,Down,72418901714707682788665789696289422965317649937589827253265381901398990720379,,0.000000,,0.000000,,,MEMPOOL
